,RANK,POENG,Resultat,Lagnavn:,Antall på lag (SKRIV KUN TALL):,1. (SKRIV MED BLOKKBOKSTAVER),2. (SKRIV MED BLOKKBOKSTAVER),3. (SKRIV DATOEN SÅNN HER: DD.MM.ÅÅÅÅ),4. (SKRIV MED BLOKKBOKSTAVER),5. (SKRIV MED BLOKKBOKSTAVER),6. (SKRIV MED BLOKKBOKSTAVER),7. (SKRIV MED BLOKKBOKSTAVER),8. (SKRIV MED BLOKKBOKSTAVER),9. (SKRIV MED TALL),10. (SKRIV MED BLOKKBOKSTAVER),11. (SKRIV MED TALL),12. (SKRIV MED BLOKKBOKSTAVER),13. (SKRIV MED BLOKKBOKSTAVER),"14. (SKRIV MED BLOKKBOKSTAVER) OG SVAR MED TALL, IKKE BOKSTAVER",15. (SKRIV MED BLOKKBOKSTAVER),16. (SKRIV MED BLOKKBOKSTAVER),17. (SKRIV MED BLOKKBOKSTAVER),18. (SKRIV MED BLOKKBOKSTAVER),19. (SKRIV MED BLOKKBOKSTAVER),20. (SKRIV MED BLOKKBOKSTAVER),21. (SKRIV MED BLOKKBOKSTAVER),22. (SKRIV MED BLOKKBOKSTAVER),23. (SKRIV MED BLOKKBOKSTAVER),"24. (SKRIV MED BLOKKBOKSTAVER) HA ""OG"" MELLOM HVERT PRODUKT. EKSEMPEL: KLUBBE OG SVERD OG PISTOL OG ATOMBOMBE. FRA ELDSTE PRODUKT TIL NYESTE.",25. (SKRIV MED BLOKKBOKSTAVER),26. (SKRIV MED BLOKKBOKSTAVER),27. (SKRIV KUN TALL),28. (SKRIV MED BLOKKBOKSTAVER),29. (SKRIV MED BLOKKBOKSTAVER),30. (SKRIV MED BLOKKBOKSTAVER)
,17,15,15 / 32,B&T,2,INDIANA JONES,VANN,24.10.1939,MAINE,PSYDUCK,10%,PILOTFRUE,CHILE,1970,KLOSE,400,SØR KOREA,EIFFELTÅRNET,13,JAWS,NEW YORK,DESTINEY CHILD,B) NEPAL OG MALAYSIA (SAMMENLAGT),KALASHNIKOV,MYANMAR,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG IPOD OG PLAYSTATION 2,DIVA,DISNEY,92,EMPIRE STATE BUILDING,KATT,KJAERLIGHET
,17,15,15 / 32,Alfred Hitche's cock,4,INDIANA,FLODHESTER,01.05.1939,RHODE ISLAND,PSYDUCK,10%,PILOTFRUE,RUSSLAND,1970,RONALDO,70,SØR-KOREA,EIFFELTÅRNET,6,CLASH OF TITANS,TEXAS,EPHEMRA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,BURMA,TORSDAG,PALTROW,LYSHASTIGHETEN,D OG C OG B OG A,DIVA,HITCHCOCK,98,EMPIRE STATE BUILDING,FUGL,KJÆRLIGHET
,17,15,15 / 32,After8,2,CROCODILE DUNDEE,REDD FOR HESTER,01.09.1939,FLORIDA,PSYDUCK,10%,PILOTFRUE,NORGE,1971,MARADONA,100,JAPAN,EIFFELTÅRNET,9,IN SEA,GEORGIA,EPHEMERA,B) NEPAL OG MALAYSIA (SAMMENLAGT),FUGL,NEPAL,TORSDAG,GWYNETH PALTROW,KRAFT,TAMAGOTCHI OG PLAYSTATION 2 OG FURBY OG IPOD,PRIMADONNA,WALT DISNEY,1928,EMPIRE STATE BUILDING,SLANGE,KJÆRLIGHET
,17,15,15 / 32,,2,INDIANA JONES ,FLODHEST ,15.09.1939,MAINE ,PSYDUCK ,10%,FOTBALLFRUE ,BRASIL ,1975,MESSI ,570,JAPAN ,EIFFELTÅRNET ,8,TITANIC ,MISSOURI ,EPHEMBRA ,C) ETHIOPIA OG BELGIA (SAMMENLAGT),HJUL ,THAILAND ,TORSDAG ,DEMI MOORE,FART ,TAMAGOTCHI OG PLAYSTATION 2 OG FURBY OG IPOD ,PRETENSIØS ,WALT DISNEY ,96,EMPIRE STATE BUILDING ,REPTIL,KJÆRLIGHET 
,18,14,14 / 32,Århusianerne,2,INDIANA JONES,FLODHESTER,09.04.1939,MAINE,PSYDUCK,20%,PILOTFRUE,AUSTRALIA,1972,MARADONNA,1500,SØR KOREA,EIFFELTÅRNET,9,TITANIC,MARYLAND,SIXPENCE NONE THE RICHER,B) NEPAL OG MALAYSIA (SAMMENLAGT),AK47,SINGAPORE,ONSDAG,JULIA ROBERTS,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,DIVA,ALFRED HITCHCOCK,94,EMPIRE STATE BUILDING,BELTEDYR,KJÆRLIGHET
,18,14,14 / 32,Ævetikke,2,INDIANA,HEST,10.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1970,MUELLER,60,ENGLAND,EIFFELTÅRNET,9,Titanic,KENTUCKY,M2M,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),GEVÆR,INDONESIA ,TORSDAG,GWYNETH PALTROW,FART,TAMAGOTCHI OG PLAYSTATION 2 OG FURBY OG IPOD,PRIMADONNA,ORSON WELLES,93,EMPIRE STATE BUILDING,ANTILOPE,KJÆRLIGHET
,18,14,14 / 32,Ugnspannkaka,4,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1973,RONALDO,22,KINA,EIFFELTÅRNET,7,10000BC,NEW YORK,GIRLS KEEP SECRETS...,B) NEPAL OG MALAYSIA (SAMMENLAGT),VÅPEN,KAZAKSTAN,TORSDAG,CAMERON DIAZ,LYSETS HASTIGHET,D OG C OG A OG B,PRIMADONNA,ALFRED HITCHCOCK,93,EMPIRE STATE BUILDING,KATTEDYR,ADASD
,18,14,14 / 32,TWIN PEAK-PARENTS WITH GP'S,4,INDIANA JONES,HEST,1. SEPTEMBER,MAINE,SAYDUCK,10%,PILOTFRUE,RUSSLAND,1970,MIROSLAV KLOSE,100,JAPAN,EIFFELTÅRNET,YESTERDAY,TITANIC,COLORADO,THE CARDIGANS,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),BÅT,SINGAPORE,TORSDAG,GWYNETH PALTROW,TETTHET,TAMAGOTCHI OG PS2 OG IPOD OG FURBY,DIVA,ALFRED HITCHCOCK,96,EMPIRE STATE BUILDING,REPTIL,GLEDE
,18,14,14 / 32,ToMaSi,3,INDIANA JONES,FLODHEST,09.10.1939,FLORIDA,PSYDUCK,10%,PILOTFRUE,RUSSLAND,1972,PELÉ,100,JAPAN,EIFFELTÅRNET,19,TITANIC,OHIO,EPHEMERA,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),BAJONETT,MONGOLIA,TORSDAG,GWYNETH PALTROW,CORE,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,DRAMA QUEEN,WALT DISNEY,94,EMPIRE STATE BUILDING,GNAGER,KJÆRLIGHET
,18,14,14 / 32,Tiny tampon,3,INDIANA JONES,FRYKT FOR FLODHESTER,09.04.1939,FLORIDA,PSYDUCK,20%,PILOTFRUE,CHILE,1970,KLOSE,100,KPOP,EIFFELTÅRNET,8,TITANIC,KENTUCKY,EPHEMRA,B) NEPAL OG MALAYSIA (SAMMENLAGT),GEVÆR,INDONESIA,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PS2 OG IPOD,PRIMADONNA,HITCHCOCK,96,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,18,14,14 / 32,The Tjommis,3,INDIANA JONES,FLODHESTER,09.04.1939,MAINE,PSYDUCK,20%,PILOTFRUE,DANMARK,1969,THOMAS MÜLLER,1200,SØR KOREA,EIFFELTÅRNET,11,TITANIC,TENNESSEE,-,C) ETHIOPIA OG BELGIA (SAMMENLAGT),VÅPEN,KASAKHSTAN,TORSDAG,GWYNETH PALTROW,RELATIVITESKONSTANTEN,TAMAGOTCHI OG IPOD OG PLAYSTATION 2 OG FURBY,PRETENSIØS,WALT DISNEY,95,EMPIRE STATE BUILDING,KATTEDYR,GLEDE
,18,14,14 / 32,THE SANDVIKS,2,INDIANA JONES,FLODHEST,09.04.1939,FLORIDA,PSYDUCK,10%,VOE,RUSSLAND,1967,KLOSE,100,ENGLAND,EIFFELTÅRNET,30,TITANIC,MICHIGAN,EFEMRA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),SIGD,FILIPPINENE,TIRSDAG,CAMERON DIAZ,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,DIVA,CHAPLIN,91,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,18,14,14 / 32,The Insiders,3,INDIANA JONES,FLODHEST,20.11.1939,FLORIDA,PSYDUCK,10%,FOTBALLFRUE,AUSTRALIA,1972,MARADONA,134,SØR KOREA,EIFFELTÅRNET,9,TITANIC,NEBRASKA,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),PALME,MONGOLIA,TORSDAG,ANGELINA JOLIE,LYSHASTIGHETEN,TAMAGOTCHI OG FURBY OG IPOD OG PLAYSTATION 2,DIVA,WALT DISNEY,92,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
