,RANK,POENG,Resultat,Lagnavn:,Antall på lag (SKRIV KUN TALL):,1. (SKRIV MED BLOKKBOKSTAVER),2. (SKRIV MED BLOKKBOKSTAVER),3. (SKRIV DATOEN SÅNN HER: DD.MM.ÅÅÅÅ),4. (SKRIV MED BLOKKBOKSTAVER),5. (SKRIV MED BLOKKBOKSTAVER),6. (SKRIV MED BLOKKBOKSTAVER),7. (SKRIV MED BLOKKBOKSTAVER),8. (SKRIV MED BLOKKBOKSTAVER),9. (SKRIV MED TALL),10. (SKRIV MED BLOKKBOKSTAVER),11. (SKRIV MED TALL),12. (SKRIV MED BLOKKBOKSTAVER),13. (SKRIV MED BLOKKBOKSTAVER),"14. (SKRIV MED BLOKKBOKSTAVER) OG SVAR MED TALL, IKKE BOKSTAVER",15. (SKRIV MED BLOKKBOKSTAVER),16. (SKRIV MED BLOKKBOKSTAVER),17. (SKRIV MED BLOKKBOKSTAVER),18. (SKRIV MED BLOKKBOKSTAVER),19. (SKRIV MED BLOKKBOKSTAVER),20. (SKRIV MED BLOKKBOKSTAVER),21. (SKRIV MED BLOKKBOKSTAVER),22. (SKRIV MED BLOKKBOKSTAVER),23. (SKRIV MED BLOKKBOKSTAVER),"24. (SKRIV MED BLOKKBOKSTAVER) HA ""OG"" MELLOM HVERT PRODUKT. EKSEMPEL: KLUBBE OG SVERD OG PISTOL OG ATOMBOMBE. FRA ELDSTE PRODUKT TIL NYESTE.",25. (SKRIV MED BLOKKBOKSTAVER),26. (SKRIV MED BLOKKBOKSTAVER),27. (SKRIV KUN TALL),28. (SKRIV MED BLOKKBOKSTAVER),29. (SKRIV MED BLOKKBOKSTAVER),30. (SKRIV MED BLOKKBOKSTAVER)
,12,20,20 / 32,Olivennene,3,INDIANA JONES,TENKE,01.10.1939,MAINE,PSYDUCK,10%,PILOTFRUE,AUSTRALIA,1970,KLOSE,100,SØR-KOREA,EIFFELTÅRNET,21,TITANIC,TENESSEE,EPHEMRA,B) NEPAL OG MALAYSIA (SAMMENLAGT),MASKINGEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW ,LYSETS HASTIGHET,FURBY OG TAMAGOCHI OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,97,CHRYSTLER BUILDING,KATTEDYR,SIRKEL
,12,20,20 / 32,Nabokjerringene,2,INDIANA JONES,HESTER,01.09.1939,MAIN,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,Miroslav Klose,100,Storbritannia ,Eiffeltårnet ,9,TENNESSEE,Tennessee Missouri,Ephemera,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK-47,IRAK,TORSDAG,Gwyneth Paltrow,LYSFARTEN,D OG C OG B OG A ,PRIMADONNA,WALT DISNEY,1923,EMPIRE STATE BUILDING ,KATTEDYRFAMILIEN,KJÆRLIGHET
,12,20,20 / 32,Måsabjønn,6,INDIANA JONES,FLODHEST-FOBI,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,RUSSLAND,1970,MIROSLAV KLOSE,100,JAPAN,EIFFELTÅRNET,8,TITANIC,MISSOURI,EPHEMRA,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),FJELL,EMIRATENE,TORSDAG,GWYNETH PALTROW,LYS,TAMAGOTCHI OG FURBY OG IPOD OG PLAYSTATION 2,DIVA,ALFRED HITCHCOCK,93,EMPIRE STATE BULDING,KATTEFAMILIEN,FAMILIEN
,12,20,20 / 32,MOASKIFTET,4,INDIANA,HEST,06.09.1939,MAINE,PICACHU,10%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,20,SØR-KOREA,EIFFELTÅRNET,9,TITANIC,PENNSYLVANIA,EPHEMERA,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),SEILBÅT,KAMBODSJA,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,92,EMPIRE STATE BUILDING,KATT,KJERLIGHET
,12,20,20 / 32,MILLENIX,1,INDIANA,HESTER,01.09.1039,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,105,JAPAN,EIFELL,9,REBUS,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR AK-47,EMPIRE STATE BUILDING,TORSDAG,DEMI MOORE,LYSETS HASTIGHET,C,X,WALT DISNEY,Z,Z,KATTEDYR,ZZZ
,12,20,20 / 32,Mango number five,,INDIANA JONES,FLODHEST,01.09.1939,WASHINGTON,PSYDUCK,20%,PILOTFRUE,USA,1971,KLOSE,180,KINA,EIFFELTÅRNET,12,TITANIC,ALABAMA,EPHEMRA,B) NEPAL OG MALAYSIA (SAMMENLAGT),AK47,TAIWAN,TORSDAG,GWYNETH PALTROW ,LYSETS HASTIGHET,D OG C OG B OG A,PRIMADONNA,WALT DISNEY,93,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,12,20,20 / 32,Lucky Loosers,5,INDIANA,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1969,KLOSE,46,KOREA,EIFFELTÅRNET,8,TITANIC,KENTUCKY,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),TRE,THAILAND,TORSDAG,GWYNETH PALTROW,HASTIGHET,TAMAGOTCHI OG FURBY OG IPOD OG PLAYSTATION 2,PRIMADONNA,WALT DISNEY,97,EMPIRE STATE BUILDING,FUGL,KJÆRLIGHET
,12,20,20 / 32,LJAN BØLER,5,INDIANA JONES,HEST,03.09.1939,RHODE ISLAND,PSYDUCK,10%,PILOTFRUE,CHILE,1970,KLOSE,60,SØR KOREA,EIFFELTÅRNET,7,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),KALASJNIKOV,MALAYSIA,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,D OG C OG A OG B,NARSISSISTISK,WALT DISNEY,96,EMPIRE STATE BUILDING,BJØRN,KJÆRLIGHET
,12,20,20 / 32,La’ Familia,6,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,5%,PILOTFRUE,RUSSLAND,1974,MIROSLAV KLOSE,87,JAPAN,EIFFELTÅRNET,8,TITANIC,TENNESSEE ,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),KALASHNIKOV,NORD-KOREA,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG IPOD OG PLAYSTATION 2 OG FURBY,PRIMADONNA,ALFRED HITCHCOCK,94,CHRYSLER BUILDING,APE,KJÆRLIGHET
,12,20,20 / 32,Kvissnödig,6,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1971,KLOSE,35,SØR-KOREA,EIFFELTÅRNET,6,TITANIC,PENNSYLVANIA,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,USBEKISTAN,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,FURBY OG TAMAGOTCHI OG PS2 OG IPOD ,PRIMADONNA,IRVING BERLIN,92,CHRYSLER BUILDING,KATTEDYR,KJÆRLIGHET
,12,20,20 / 32,Kinn,6,INDIANA JONES,FLODHESTER,01.09.1939,MAINE,PSYDUCK,5%,PILOTFRUE,NORGE,1970,NIROSLAV KLOSE,300,JAPAN,EIFFELTÅRNET,12,TITANIC,TENNESSEE,EMPHEMRA,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),FUGL,AFGHANISTAN,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD ,DIVA,WALT DISNEY,94,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,12,20,20 / 32,Kiellands road ,3,INDIANA JONES,HEST,01.09.1939,MAIN,PSYDUCK,20%,PILOTFRUE,AUSTRALIA,1970,JUST FONTAINE,200,INDIA,EIFFELTÅRNET,4,TENNESEE,OHIO,EPHEMERA,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),MASKINGEVÆR,THAILAND,TORSDAG,PALTROW,GRAVITASJON,D OG B OG C OG A,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEFAMILIEN,GLEDE
,12,20,20 / 32,Hjelp! Vi er stuck i hver vår leilighet og det eneste som holder oss gående er denne quizen!,7,INDIANA,HEST,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,RUSSLAND,1970,RONALDO,70,SØRKOREA,EIFFELTÅRNET,8,TITANIC,MISSOURI,EPHEMERA,B) NEPAL OG MALAYSIA (SAMMENLAGT),GEVÆR,MONGOLIA,TORSDAG,PALTROW,LYSETS HASTIGHET,D OG C OG A OG B,PRETENSIØS,DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,12,20,20 / 32,Harham,2,INDY,HESTER,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,100,TYSKLAND,EIFFELTÅRNET PARIS,9,THE DENTIST,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),BAJONETT,THAILAND,TORSDAG,JULIA ROBERTS,HASTIGHET/FART,FURBY OG TAMAGOTCHI OG PS2 OG IPOD,VETIKKE,WALT DISNEY,96,WORLD TRADE CENTER,KATT,KJÆRLIGHET
,12,20,20 / 32,HAN ENE I FRP SOM IKKE BLE JUSTISMINISTER,6,INDIANA,HEST,01.09.1939,RHODE ISLAND,PSYDUCK,20%,PILOTFRUE,RUSSLAND,1971,PELÉ,60,JAPAN,EIFFELTÅRNET ,8,TITANIC,TENNESSEE ,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,SØR-KOREA,TORSDAG,GWYNETH PALTHROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,FORD,94,CHRYSLER-BYGNINGEN,KATT,KJÆRLIGHET
,12,20,20 / 32,Gjengen fra Schengen,8,INDIANA JONES,FLODHEST,04.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1971,KLOSE,55,SØR-KOREA,EIFFELTÅRNET,9,TITANIC,MISSOURI,EPHEMERA,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),GEVÆR,AFGHANISTAN,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,HITCHCOCK,93,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,12,20,20 / 32,Fruktcoctail,5,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,PELE,300,SØR KOREA,EIFFELTÅRNET,12,TENNESSEE,TENNESSEE,EPHOFIA,B) NEPAL OG MALAYSIA (SAMMENLAGT),LJÅ,VIETNAM,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET ,D OG C OG B OG A ,PRIMADONNA,ELVIS ,91,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,12,20,20 / 32,Euklid,4,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,BLONDBABE,NORGE,1973,PELE,873,SØR-KOREA,EIFFELTÅRNET,13,TITANIC,KENTUCKY,EPHEMRA,B) NEPAL OG MALAYSIA (SAMMENLAGT),TRE,THAILAND,TORSDAG,JULIA ROBERTS,LYSFART,D OG C OG A OG B,PRIMADONNA,WALT DISNEY,92,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,12,20,20 / 32,Detention,6,INDIANA,FLODHEST,01.09.1939,MAINE,PSY DUCK,5%,HELSESISTA,NORGE,1970,KLOSE,44,TYSKLAND,EIFFELTÅRNET,14,TITANIC,NEW YORK,EPHEMRA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,MALAYSIA,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG IPOD OG PLAYSTATION 2 (PS2) OG FURBY,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,12,20,20 / 32,David Bowies Nipple Antennae ,3,INDIANA JONES,LEGE,13.09.1939,MAINE,PSYDUCK,10%,FUNKYGINE,CHILE,1970,MIROSLAV KLOSE,43,JAPAN,EIFFELTÅRNET,7,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),RIFLE,SINGAPORE,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,C OG D OG B OG A,PRIMADONNA,WALT DISNEY,93,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,12,20,20 / 32,DAFTØ PIRATES,6,INDIANA JONES,HEST,01.09.1939,FLORIDA,PSYDUCK,10%,PILOTFRUE,NORGE,1970,KLOSE,200,SØR KOREA,EIFFELTÅRNET,10,TITANIC,MARYLAND,EPHEMRA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),FUGL,KAMBODSJA,TORSDAG,PALTROW,LYSETS HASTIGHET,D OG C OG B OG A,PRIMADONNA,DISNEY,94,EMPIRE STATE BULIDING,GNAGER,KJÆRLIGHET
,12,20,20 / 32,Covid-fitten,3,INDIANA JONES,FLODHEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,RUSSLAND,1969,MIRSOLAV KLOSE,99,STORBRITANNIA,EIFFELTÅRNET,12,YOU ARE THE TEN IN TENNESSEE,TENNESSEE,GREEN DAY,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK-47,SRI LANKA,ONSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,D OG C OG B OG A,HASSE,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,12,20,20 / 32,Bratislava Boogaloo,3,INDIANA JONES,HESTER,01.09.1939,MAINE,PLATYMON,10%,PILOTFRUE,USA,1970,KLOSE,42,SØR-KOREA,EIFFELTÅRNET,9,TITANIC,VIRGINIA,EPHERMEA,B) NEPAL OG MALAYSIA (SAMMENLAGT),TRE,THAILAND,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOCHI OG FURBY OG IPOD OG PLAYSTATION 2,PRIMADONNA,ZANUCK,92,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,12,20,20 / 32,AGATHA QUIZTIE,6,INDIANA JONES,FLODHEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,RUSSLAND,1970,MESSI,48,SØR KOREA,EIFFELTÅRNET,9,TITANIC, SOUTH CAROLINA,ACAMP,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,VIETNAM,TORSDAG,PALTROW,LYSETS HASTIGHET,D OG C OG A OG B,PRIMADONNA,JAMES DEAN,96,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,13,19,19 / 32,Übermensch,3,INDIANA,HEST,01.09.1939,NEW JERSEY,PSYDUCK,10%,PILOTFRUE,NOREG,1971,KLOSE,60,INDIA,EIFFEL TÅRNET,10,TITANIC,KENTUCKY,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),VÅPEN,AFGHANISTAN,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI PLAYSTATION 2 IPOD  FURBY,PRIMADONNA,WALT DISNEY,94,EMPIRE STATE BUILDING,KATT,EN SIKKER HAVN
,13,19,19 / 32,Wuhan Clan,3,INDY,HESTER,13.09.1939,MAINE,PSYDUCK,5%,PILOTFRUE,RUSSLAND,1970,KLOSE,50,SØR-KOREA,EIFELTÅRNET,9,TITANIC,TENNESSEE,M2M,B) NEPAL OG MALAYSIA (SAMMENLAGT),AK-47,NORD-KOREA,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,CDBA,NARSISSIST,WALT DISNEY,98,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,13,19,19 / 32,Wuhan Anti Social Club,1,INDIANA,FLODHESTER,01.09.1939,MAINE,PSYDUCK,10%,SIRKUSHESTENS DATTER,NORGE,1970,JUST FONTAINE,500,SØR KOREA,EIFFELTÅRNET,9,TITANIC,NEBRASKA,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),TREHJULSYKKEL UTEN RINGEKLOKKE,NORD KOREA,LØRDAG,ANGELINA JOLIE,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEFAMILIEN,FISKEKAKER
,13,19,19 / 32,Willy Brandt Flughafen,2,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,5%,PILOTFRUE,NORGE,1964,KLOSE,2300,JAPAN,EIFFELTÅRNET,10,CHRIST,TENNESSEE,WESTLIFE,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,PALTROW,CARBON,D OG C OG B OG A,KJÆRRING,DISNEY,92,ROCKEFELLER CENTRE,KATTEDYR,LIV
,13,19,19 / 32,Viggovenneløs,1,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,RUSSLAND,1970,KLOSE,78,SPANIA,EIFFELTÅRNET,20,VET IKKE,MISSOURI,VET IKKE,B) NEPAL OG MALAYSIA (SAMMENLAGT),GEVÆR,LAOS,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,VET IKKE,VET IKKE,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,13,19,19 / 32,Vidkunnskap Quizling,5,INDIANA,HEST,18.11.1939 ANDRE VERDENSKRIG,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1970,KLOSE,35,JAPAN,EIFFELTÅRNET,15,TITANIC,PENNSYLVANIA,M2M,B) NEPAL OG MALAYSIA (SAMMENLAGT),LJÅ,MONGOLIA,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,DIVA,WALT DISNEY,97,CHRYSLER ,KATT,KJÆRLIGHET
,13,19,19 / 32,Veni vedi ...,5,INDIANA JONES,HEST,01.09.1939,FLORIDA,POKEAND,10%,FRU TIMIAN,RUSSLAND,1970,PUSKAS,45,JAPAN,EIFFELTÅRNET,10,TITANIC,MINNESOTA,EPIPHERMA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),TRE,THAILAND,TORSDAG,PALTROW,LYSHASTIGHETEN,TAMAGOTCHI OG PLAYSTATION 2 OG IPOD OG FURBY,PRIMADONNA,WALT DISNEY,92,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,13,19,19 / 32,TNT,6,INDIANA JONES,HESTER,01.09.1939,MAINE,GAKACHUU,20%,PILOTFRUE,AUSTRALIA,1970,LIONEL MESSI,150,ENGLAND,EIFFELTÅRNET,6,TITANIC,COLORADO,EPHEMRA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),VÅPEN,NORD-KOREA,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTHI OG FURBY OG IPOD OG PLAYSTATION 2,PRIMADONNA,ALFRED HITCHCOCK,96,EMPIRE STATE BUILDNING,KATTEDYR,KJÆRLIGHET
,13,19,19 / 32,Team jentutten,6,INDIANA JONES,FLODHESTER,03.10.1939,MAINE,PSYDUCK,20%,PILOTFRUE,AUSTRALIA,1970,MIROSLAV KLOSE,70,INDIA,EIFFELTÅRNET,23,TOOTH FAIRY,TENNESSEE,END,B) NEPAL OG MALAYSIA (SAMMENLAGT),TYPE FARTØY TIL HAVS,INDONESIA,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION2 OG IPOD,NONCHALANT,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,13,19,19 / 32,Team Baktropp,4,INDIANA JONES,FLODHEST,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,USA,1972,KLOSE,200,KINA,EIFFELTÅRNET,8,TITANIC,KENTUCKY,EMPHERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),BAJONETT,THAILAND,TORSDAG,PALTROW,HASTIGHET,D OG C OG A OG B,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,13,19,19 / 32,Stars 'R' Blind,3,INDIANA JONES,VANN,09.09.1939,DELAWARE,PSYDUCK,20%,PILOTFRUE,AUSTRALIA,1970,MÜLLER,30,INDIA,EIFFELTÅRNET,9,TITANIC,KENTUCKY,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,MYANMAR,TORSDAG,SHARON STONE,LYSETS HASTIGHET,TAMAGOTCHI OG IPOD OG PLAYSTATION2 OG FURBY,PRIMADONNA,DISNEY,96,EMPIRE STATE BUILDING,KATT,LYKKE
,13,19,19 / 32,Schmidts venner,5,INDIANA JONES,HESTER,01.09.1939,NEW HAMPSHIRE,PSYDUCK,20%,PILOTFRUE,RUSSLAND,1971,KLOSE,65,INDIA,EIFFELTÅRNET,6,TITANIC,KENTUCKY,EPHEMRA,B) NEPAL OG MALAYSIA (SAMMENLAGT),MASKINGEVÆR ,MALAYSIA,TORSDAG,PENELOPE CRUZ,LYSHASTIGHET,TAMAGOTCHI OG FURBY OG IPOD OG PLAYSTAION 2,PRIMADONNA,WALTER DISNEY,94,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,13,19,19 / 32,RATATA,4,INDIANA JONES,HEST,01.09.1939,FLORIDA,PSYDUCK,5%,PILOTFRUE,NORGE,1972,KLOSE,211,KOREA,EIFFELTÅRNET,8,TITANIC,NEW YORK,BRISKEBY,C) ETHIOPIA OG BELGIA (SAMMENLAGT),HAMMER,THAILAND,TORSDAG,GWENYTH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRETENSIØS,HITCHCOCK,94,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,13,19,19 / 32,Ramsløkene,3,INDIANA JONES,FLODHEST,23 JULI,MAIN,PSYDUCK,20%,BLOGGER,RUSSLAND,1967,MIROSLAV KLOSE,132,JAPAN,EIFELTÅRNET,9,TOOTSIE,TENNESSEE,F,C) ETHIOPIA OG BELGIA (SAMMENLAGT),VÅPEN,THAILAND,LØRDAG,GWYNETH PALTROW,FART,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,NARCISIST,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,13,19,19 / 32,R3,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PICASHU,20%,PILOTFRUE,NORGE,1970,RONALDO,100,STORBRITANNIA,EIFFELTÅRNET,24,TITANIC,ARKANSAS,VET IKKE,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,JULIA ROBERTS,LYSETS HASTIGHETPLAYS,TOMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,NARSISSIST,WALT DISNEY,95,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,13,19,19 / 32,Quizzåt,3,INDIANA JONES,DYR,.1939,MAINE,PLATYMON,5%,PILOTFRUE,FILLIPPINENE,1977,KLOSE,45,JAPAN,EIFFELTÅRNET,ÅTTE,TITANIC,TENNESSEE,EPHEMERA,B) NEPAL OG MALAYSIA (SAMMENLAGT),FUGL,THAILAND,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WELLS,94,EMPIRE STATE BUILDING,KATT,VANN
,13,19,19 / 32,Quizzeria Mama Mia,3,INDIANA,FLODHEST,19.08.1939,MAINE,PSYDUCK,20%,PILOTFRUE,RUSSLAND,1969,MIROSLAV KLOSE,74,SØR-KOREA,EIFFELTÅRNET,42,TITANIC,KENTUCKY,WESTLIFE,B) NEPAL OG MALAYSIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,D OG C OG A OG B,PRIMADONNA,WALT DISNEY,90,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,13,19,19 / 32,Quizted Sisters & Hans,5,INDIANA JONES,FLODHESTER,01.09.1939,FLORIDA,PSYDUCK,10%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,134,SØR-KOREA,EIFFELTÅRNET,9,TITANIC,VIRGINIA,EPHEMRA,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),MACHETE,UZBEKISTAN,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG IPOD OG PLAYSTATION 2 OG FURBY,DIVA,WALT DISNEY,96,ROCKEFELLER CENTER,KATTEDYR,KJÆRLIGHET
,13,19,19 / 32,Quizkmegiøret,4,INDIANA JONES,FOBI FOR HESTER,01.09.1939,MAINE,PSYDUCK,5%,PILOTFRUE,NORGE,1970,PELE,39,SØR-KOREA,EIFFELTÅRNET,18,TITANIC,KANSAS,M2M,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,AFGHANISTAN,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,ALFRED HITCHCOCK,93,EMPIRE STATE BUILDING,KATTEFAMILIEN,HERLIGHET
,13,19,19 / 32,quizervoir dogs,6,iNDIANA JONES,HEST,01.09.1939,WASHINGTON DC,PSYDUCK,20%,PILOTFRUE,NORGE,1973,DIEGO MARADONA,332,JAPAN ,EIFFELTÅRNET,12,TITANIC,NEW YORK,EPHEMERA,B) NEPAL OG MALAYSIA (SAMMENLAGT),GEVÆR,FILLIPINENE,TORSDAG,GWYNETH PALTROW ,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,ALFRED HITCHCOCK,91,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,13,19,19 / 32,Quizantine,6,INDIANA,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,MIROSLAV KLOSE,60,STORBRITANNIA,EIFFELTÅRNET,6,TITANIC,TENNESSEE,EMPHER,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),GEVÆR,VIETNAM,TORSDAG,GWENYTH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG IPOD OG PLAYSTATION,PRIMADONNA,WALT DISNEY,93,EMPIRE STATE BUILDING,KATTEFAMILIE,KJÆRLIGHET
,13,19,19 / 32,QUIZ FOR TOG,2,INDIANA JONES,FLODHEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,RUSSLAND,1970,KLOSE,400,ENGLAND,EIFFELTÅRNET,65,TITANIC,TEXAS,NSYNC,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSHASTIGHET,C OG D OG B OG A,FØRSTEDAME,DISNEY,93,EMPIRE STATE BUILDING,FUGL,VARME OG SORG
